Elapsed Time (ms), Alphabet, Pitch, Yaw, Roll
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 4.168817E-10, 0.2590049, 357.736
0,  , 7.63755, 338.801, 350.7109
0,  , 7.643988, 338.2635, 350.6188
0,  , 8.525769, 332.9272, 350.0589
0,  , 7.780138, 331.3006, 350.3873
0,  , 7.584002, 330.5244, 350.2683
0,  , 7.597942, 330.9189, 350.258
0,  , 7.518131, 330.8857, 350.4565
0,  , 7.520897, 330.8117, 350.5114
0,  , 7.377751, 330.7791, 350.7495
0,  , 7.222874, 330.3662, 350.864
0,  , 7.131316, 330.2998, 350.6573
0,  , 7.199969, 330.517, 350.4765
0,  , 7.109523, 330.5801, 350.5831
0,  , 7.155033, 330.6104, 350.6125
0,  , 7.158257, 330.4691, 350.5896
0,  , 7.174411, 330.4736, 350.619
0,  , 7.17871, 330.5874, 350.6008
0,  , 7.119668, 330.7184, 350.556
0,  , 7.091343, 330.8255, 350.5643
0,  , 7.059651, 330.8754, 350.6599
0,  , 7.045335, 330.9045, 350.7165
0,  , 7.094662, 330.8573, 350.7126
0,  , 7.046575, 330.7565, 350.6351
0,  , 6.978636, 330.6657, 350.6669
0,  , 6.897824, 330.5941, 350.6539
0,  , 6.840397, 330.5082, 350.619
0,  , 6.82351, 330.4914, 350.7126
0,  , 6.797452, 330.4834, 350.7369
0,  , 6.706706, 330.5014, 350.8119
0,  , 6.724768, 330.5917, 350.8642
0,  , 6.744201, 330.5603, 350.8786
0,  , 6.722146, 330.4962, 350.9566
0,  , 6.751826, 330.4911, 350.9353
0,  , 6.756248, 330.5153, 351.0262
0,  , 6.786539, 330.5306, 351.0165
0,  , 6.75215, 330.5228, 351.0548
0,  , 6.670605, 330.4797, 351.0343
0,  , 6.629352, 330.4025, 351.0729
0,  , 6.621177, 330.359, 351.0638
0,  , 6.637758, 330.2916, 351.11
0,  , 6.665785, 330.2378, 351.1163
0,  , 6.706838, 330.3107, 351.0768
0,  , 6.700513, 330.3498, 351.0831
0,  , 6.703124, 330.4122, 351.0631
0,  , 6.70151, 330.4586, 351.08
0,  , 6.679595, 330.6032, 351.1307
0,  , 6.573183, 330.8509, 351.1802
0,  , 6.500167, 330.9254, 351.1613
0,  , 6.485893, 330.9635, 351.1529
0,  , 6.431803, 330.9707, 351.0577
0,  , 6.39937, 331.0173, 351.0674
0,  , 6.507484, 331.0158, 351.1744
0,  , 6.498768, 331.0467, 351.1906
0,  , 6.513816, 180, 351.1953
0,  , 6.479771, 180.019, 351.1808
0,  , 6.456274, 180.1055, 351.1915
0,  , 6.465114, 180.1464, 351.1802
0,  , 6.484787, 180.1441, 351.1779
0,  , 6.474442, 180.0963, 351.1691
0,  , 6.478346, 180.0435, 351.1381
0,  , 6.537786, 179.9189, 351.041
0,  , 6.571929, 179.8279, 350.9702
0,  , 6.654255, 179.8349, 350.9362
0,  , 6.702859, 179.8562, 350.9255
0,  , 6.711092, 179.8811, 350.9444
0,  , 6.72932, 179.8611, 350.9642
0,  , 6.735512, 179.8289, 350.9513
0,  , 6.757311, 179.7898, 350.9411
0,  , 6.806764, 179.7336, 350.9629
0,  , 6.818604, 179.6454, 350.9348
0,  , 6.739798, 179.5079, 350.9437
0,  , 6.490328, 179.4375, 351.1006
0,  , 6.378452, 179.3825, 351.1293
0,  , 6.373456, 179.2267, 351.0739
0,  , 6.404027, 179.0797, 351.0374
0,  , 6.398766, 178.7475, 351.0172
0,  , 6.388818, 178.6185, 351.0073
0,  , 6.290264, 178.4949, 351.0196
0,  , 6.241575, 178.3299, 351.059
0,  , 6.195337, 178.0629, 351.1694
0,  , 6.219052, 177.9612, 351.2634
0,  , 6.179715, 177.7839, 351.2868
0,  , 6.08075, 177.5894, 351.2852
0,  , 6.031754, 177.4259, 351.367
0,  , 5.983792, 177.317, 351.4672
0,  , 5.876631, 176.9992, 351.6394
0,  , 5.868073, 176.7754, 351.6176
0,  , 5.918091, 176.3971, 351.6086
0,  , 5.894501, 176.0289, 351.7857
0,  , 5.883044, 175.612, 352.0277
0,  , 5.854729, 174.8822, 352.316
0,  , 5.633244, 174.3622, 352.3986
0,  , 5.527228, 173.9142, 352.3812
0,  , 5.486026, 173.3636, 352.2786
0,  , 5.507127, 172.7493, 352.2585
0,  , 5.484038, 171.6275, 352.4223
0,  , 5.359584, 170.9455, 352.445
0,  , 5.255016, 170.4092, 352.5134
0,  , 5.1497, 169.9218, 352.5944
0,  , 5.189536, 169.4068, 352.6262
0,  , 5.204676, 168.3216, 352.7223
0,  , 5.205169, 167.7589, 352.7784
0,  , 5.146906, 167.2977, 352.7002
0,  , 5.072867, 166.8868, 352.6607
0,  , 4.981591, 166.5495, 352.7121
0,  , 4.905564, 165.7778, 352.7388
0,  , 4.9177, 165.464, 352.7887
0,  , 4.819961, 165.1502, 352.8192
0,  , 4.677845, 164.9104, 352.8386
0,  , 4.446913, 164.7148, 352.812
0,  , 4.248363, 164.2351, 352.7577
0,  , 4.228879, 164.1336, 352.7878
0,  , 4.256025, 164.0381, 352.9169
0,  , 4.275924, 163.863, 352.902
0,  , 4.204783, 163.7873, 352.9671
